MYSQL,SNOWFLAKE
tinyint,"NUMBER(3,0)"
smallint,"NUMBER(5,0)"
mediumint,"NUMBER(7,0)"
int,"NUMBER(10,0)"
integer,"NUMBER(10,0)"
bigint,"NUMBER(19,0)"
decimal,"NUMBER(38,18)"
numeric,"NUMBER(38,18)"
float,FLOAT
double,FLOAT
double precision,FLOAT
bit,BOOLEAN
boolean,BOOLEAN
char,CHAR
varchar,VARCHAR
text,VARCHAR
tinytext,VARCHAR
mediumtext,VARCHAR
longtext,VARCHAR
binary,BINARY
varbinary,BINARY
blob,BINARY
tinyblob,BINARY
mediumblob,BINARY
longblob,BINARY
date,DATE
datetime,TIMESTAMP_NTZ
timestamp,TIMESTAMP_NTZ
time,TIME
year,"NUMBER(4,0)"
json,VARIANT
enum,VARCHAR
set,VARCHAR
